institution_id;institution_name;search_result_name;institution_geolocation;dist (m);source
9853;UAB-Research dept.;Camino Nuevo;40.45345, -1.05208;;Mapbox
9858;SWAGRO BOUW bv;SWAGRO BOUW bv;;;
9860;ECOPLAN, ECONOMIC RESEARCH AND POLICY CONSULTANCY;Thunstrasse 22;46.942014, 7.453837;;Mapbox
9862;HERRY CONSULT GMBH;Herry Consult (Austria);48.20849, 16.37208;;OpenAlexNormalized
9863;SUDOP PRAHA A.S.;Olšanská 1a;50.083546, 14.463275;;Mapbox
9864;STATENS VÄG-OCH TRANSPORTFORSKNINGSINSTITUT - SWEDISH NATIONAL ROAD AND TRANSPORT RESEARCH INSTITUTE;Olaus Magnus Väg 35;58.395705, 15.573;;Mapbox
9871;SIVILARKITEKT HARALD N. ROSTVIK AS;Stavanger;58.970963, 5.733589;;Mapbox
9872;EVONYMOS ECOLOGICAL LIBRARY;St;42.733133, -87.822344;;Mapbox
9873;EUDITI - ENERGY AND ENVIRONMENTAL DESIGN;Street 11;30.104535, 31.381123;;Mapbox
9874;HOL KIRKELIGE FELLESRÅD;Nerolsgutu 2;60.615194, 8.294482;;Mapbox
9875;FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.;Hansastraße 27c;48.132884, 11.530385;;Mapbox
9876;CITY OF STUTTGART;Marktplatz 1;48.805318, 9.21409;;Mapbox
9877;IT POWER;The Manor House;50.34678, -3.64323;;Mapbox
9878;PLYMOUTH COLLEGE OF FURTHER EDUCATION;Kings Road;50.373463, -4.168776;;Mapbox
9879;SINTEF CIVIL AND ENVIRONMENTAL ENGINEERING;Strindvegen 4;63.413454, 10.408935;;Mapbox
9880;ASKER MUNICIPALITY;Knud Askers Vei 25;59.837084, 10.436213;;Mapbox
9882;KØBENHAVNS KOMMUNE - UDDANNELSES- OG UNGDOMSFORVALTNINGEN;Islands Brygge 37;55.664691, 12.574487;;Mapbox
9883;STATENS BYGGEFORSKNINGSINSTITUT, DANISH BUILDING AND URBAN RESEARCH;Dr Neergaards Vej 15;55.867037, 12.492658;;Mapbox
