i.id;oa.id;i.name;oa.name;i.geo;oa.geo;dist (m);matching_name
5;https://openalex.org/I200763008;Justus-Liebig-Universität Giessen;University of Giessen;50.5807275, 8.6766131;50.58727, 8.67554;731.0;False
12;https://openalex.org/I45084792;Università degli Studi di Firenze;University of Florence;43.782644, 11.2213243;43.77925, 11.24626;2037.0;True
14;https://openalex.org/I100930933;University College Dublin;University College Dublin;;53.33306, -6.24889;;True
15;https://openalex.org/I4210147215;National Agricultural Research Foundation;National Agricultural Research Foundation;;37.98376, 23.72784;;True
16;https://openalex.org/I126231945;Queen's University of Belfast;Queen's University Belfast;;54.59682, -5.92541;;True
19;https://openalex.org/I9360294;UNIVERSITY OF BOLOGNA;University of Bologna;44.4969378, 11.3523821;44.49381, 11.33875;1136.0;True
21;https://openalex.org/I4210120464;Istituto Sperimentale per la Frutticoltura;Istituto Sperimentale per la Frutticoltura;41.897838, 12.4763916;41.89193, 12.51133;2966.0;True
25;https://openalex.org/I51601045;UNIVERSITY OF BATH;University of Bath;;51.3751, -2.36172;;True
28;https://openalex.org/I4210156066;State Laboratory;State Key Laboratory of Chemical Engineering;;30.29365, 120.16142;;False
31;https://openalex.org/I4210122450;BENAKI PHYTOPATHOLOGICAL INSTITUTE;Benaki Phytopathological Institute;;37.98376, 23.72784;;True
36;https://openalex.org/I129043915;Università degli Studi di Udine;University of Udine;;46.0693, 13.23715;;True
39;https://openalex.org/I1294671590;CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE;Centre National de la Recherche Scientifique;48.5807234, 7.7624633;48.85341, 2.3488;398238.0;True
50;https://openalex.org/I162608824;University of Sussex;University of Sussex;;50.82838, -0.13947;;True
53;https://openalex.org/I4210101285;CENTRE DE RECHERCHES AGRONOMIQUES;Walloon Agricultural Research Centre;50.4447232, 4.4362614;50.56149, 4.69889;22662.0;False
65;https://openalex.org/I141766778;TEAGASC (AGRICULTURE AND FOOD DEVELOPMENT AUTHORITY);Teagasc - The Irish Agriculture and Food Development Authority;53.0968609, -7.9034194;52.84083, -6.92611;71371.0;False
66;https://openalex.org/I110079840;Universität Hohenheim;University of Hohenheim;48.7139164, 9.2148655;48.78232, 9.17702;8096.0;True
77;https://openalex.org/I1314251682;Institut National de la Recherche Agronomique;Institut National de la Recherche Agronomique;;34.01325, -6.83255;;True
78;https://openalex.org/I4210119417;Université Nationale du Bénin;Université d'Abomey-Calavi;6.137777799999999, 1.2125;6.36536, 2.41833;135666.0;True
80;https://openalex.org/I4210107929;Ministère de la Santé;Ministère de la Santé;;34.01325, -6.83255;;True
85;https://openalex.org/I4210121781;Norwegian Food Research Institute;Nofima;59.6654398, 10.755791;69.6489, 18.95508;1174257.0;False
98;https://openalex.org/I4210106474;Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria;Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria;;40.4165, -3.70256;;True
99;https://openalex.org/I1314251682;INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE;Institut National de la Recherche Agronomique;48.765472, 2.18026;34.01325, -6.83255;1801437.0;True
102;https://openalex.org/I93627455;Tavistock Institute of Human Relations;Tavistock Institute;51.5229999, -0.0863704;51.50853, -0.12574;3164.0;True
105;https://openalex.org/I4210104415;ARLA;Arla Foods (Denmark);64.7573845, 20.971443;56.15674, 10.21076;1120333.0;False
109;https://openalex.org/I27577105;University College Cork;University College Cork;;51.89797, -8.47061;;True
114;https://openalex.org/I4210160965;Institut Sénégalais de Recherches Agricoles;Institut Sénégalais de Recherches Agricoles;14.7035845, -17.4288141;14.6937, -17.44406;1974.0;True
115;https://openalex.org/I31512782;TECHNISCHE UNIVERSITÄT DARMSTADT;Technical University of Darmstadt;49.875408, 8.6557038;49.87167, 8.65027;570.0;True
120;https://openalex.org/I141816643;NATURAL ENVIRONMENT RESEARCH COUNCIL;Natural Environment Research Council;51.56688949999999, -1.7845378;51.55797, -1.78116;1019.0;True
124;https://openalex.org/I1326271269;Forestry Commission;Forestry Commission England;;51.45523, -2.59665;;False
125;https://openalex.org/I4210111078;Forschungsinstitut für schnellwachsende Baumarten;Forschungsinstitut für schnellwachsende Baumarten;51.4274773, 9.6364547;51.41505, 9.65046;1689.0;True
132;https://openalex.org/I141766778;TEAGASC;Teagasc - The Irish Agriculture and Food Development Authority;53.3273966, -6.2217498;52.84083, -6.92611;71695.0;True
133;https://openalex.org/I74656192;GEORG-AUGUST-UNIVERSITÄT GÖTTINGEN;University of Göttingen;51.5376161, 9.9373009;51.53443, 9.93228;496.0;True
138;https://openalex.org/I4387155929;NATIONAL RADIOLOGICAL PROTECTION BOARD;National Radiological Protection Board;;51.60928, -1.24214;;True
142;https://openalex.org/I28290843;UNIVERSITY OF SURREY;University of Surrey;;51.23536, -0.57427;;True
147;https://openalex.org/I142263535;University of Nottingham;University of Nottingham;52.9331912, -1.193602;52.9536, -1.15047;3675.0;True
153;https://openalex.org/I2799747612;XUNTA DE GALICIA;Xunta de Galicia;42.4298846, -8.6446202;42.88052, -8.54569;50757.0;True
154;https://openalex.org/I27577105;UNIVERSITY COLLEGE CORK;University College Cork;51.8981934, -8.4833797;51.89797, -8.47061;877.0;True
155;https://openalex.org/I165339363;UNIVERSIDAD DE OVIEDO;Universidad de Oviedo;43.3620985, -5.8461931;43.36029, -5.84476;232.0;True
157;https://openalex.org/I32062511;HERIOT-WATT UNIVERSITY;Heriot-Watt University;55.90858069999999, -3.3203495;55.95206, -3.19648;9106.0;True
162;https://openalex.org/I4210106474;INIA;Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria;;40.4165, -3.70256;;False
167;https://openalex.org/I173304897;UNIVERSIDAD DE GRANADA;Universidad de Granada;37.2977286, -1.8787663;37.18817, -3.60667;153436.0;True
171;https://openalex.org/I4210107786;NETHERLANDS INSTITUTE OF ECOLOGY;Netherlands Institute of Ecology;51.4907539, 4.0508362;51.97, 5.66667;123380.0;True
191;https://openalex.org/I298625061;SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES;Swedish University of Agricultural Sciences;;59.85882, 17.63889;;True
192;https://openalex.org/I20272500;Università degli Studi della Basilicata;University of Basilicata;40.6329739, 15.8061218;40.64175, 15.80794;988.0;True
195;https://openalex.org/I55143463;Università degli Studi di Torino;University of Turin;45.0499337, 7.6804105;45.07049, 7.68682;2341.0;True
199;https://openalex.org/I138938424;Università degli Studi della Tuscia;Università degli Studi della Tuscia;42.418688, 12.1009068;42.41937, 12.1056;393.0;True
