institution_id;institution_name;search_result_name;institution_geolocation;dist (m);source
8;CENTRE INTERNATIONAL DE HAUTES ETUDES MEDITERRANEENNES;Calle Zaragoza 22;40.833657, -0.797917;;Mapbox
10;COMUNIDAD DE MADRID - CONSEJERIA DE AGRICULTURA Y COOPERACION;Calle Alcalá De Henares 127;37.81054, -0.805675;;Mapbox
22;NATIONAL AGRICULTURAL RESEARCH FOUNDATION - PLANT PROTECTION INSTITUTE VOLOS;El Nozha;30.11, 31.34;;Mapbox
23;NATIONAL AGRICULTURAL RESEARCH FOUNDATION - POMOLOGY INSTITUTE;L 81 59200;51.195936, 7.19318;;Mapbox
24;INSTITUTO VALENCIANO DE INVESTIGACIONES AGRARIAS - CONSELLERIA DE AGRICULTURA Y PESCA GENERALIDAD VALENCIANA;Carretera Moncada;39.541657, -0.388295;;Mapbox
26;RIJKSSTATION VOOR PLANTENZIEKTEN;Burgemeester Van Gansberghelaan 96;50.980564, 3.778764;;Mapbox
27;MAFF Central Science Laboratory;Hatching Green;51.804015, -0.356414;;Mapbox
35;RUSTICA SEMENCES;Chemin De Sandreau;43.68847, 1.273987;;Mapbox
38;ARLESA Semillas;Cl Punta Del Verde;37.295332, -6.047546;;Mapbox
54;Centro Servizi Avanzati per l'Agricoltura;Strada Statale 71;43.371118, 11.876758;;Mapbox
56;INTERNATIONAL CENTER FOR ADVANCED MEDITERRANEAN AGRONOMIC STUDIES - MEDITERRANEAN AGRONOMIC INSTITUTE OF CHANIA;Rania 85;46.649743, 9.447977;;Mapbox
57;INSTITUTE OF SUBTROPICAL PLANTS AND OLIVE TREES OF CHANIA;731 00;35.514899, 24.019251;;Mapbox
64;VITROHELLAS S.A.;Eleftherios Venizelos Str.;40.636385, 22.941337;;Mapbox
74;Instituto Nacional de Investigacao Agrarias;Rua De Leiria;39.549993, -8.972098;;Mapbox
75;Institut d'Arboriculture Fruitiere;592 00;40.631598, 22.069192;;Mapbox
106;National Dairy Products Centre;Moorepark Road;52.162814, -8.26495;;Mapbox
111;St Hubert Industrie Laitiere;Rue François Villon;48.655138, 6.17414;;Mapbox
117;UNIVERSIDAD DE CORDOBA;Plaça De Correus 3048;41.381363, 2.1814;;Mapbox
119;Wageningen Agricultural University;Wageningen;51.964273, 5.663793;;Mapbox
123;Centre National du Machinisme Agricole, du Génie Rural, des Eaux et des Forêts (CEMAGREF);Nogent-sur-Vernisson;47.846832, 2.74161;;Mapbox
141;RISOE NATIONAL LABORATORY;Frederiksborgvej 399;55.692568, 12.103063;;Mapbox
143;Risø National Laboratory;4000;55.641095, 12.081609;;Mapbox
145;NATIONAL RESEARCH COUNCIL OF ITALY;Via Salaria;42.057655, 12.6967;;Mapbox
151;THE QUEEN'S UNIVERSITY OF BELFAST;97 Lisburn Road;54.58558, -5.94266;;Mapbox
158;UNIVERSIDAD DE LEON;S/N;28.958124, -13.552969;;Mapbox
169;Idroallevamenti Srl;Via Brasile;39.262091, 9.133177;;Mapbox
172;INST. DE BIOLOGIA EXPERIMENTAL E TECNOLOGICA - IBET;R Eiras 1;39.059755, -9.328848;;Mapbox
187;MEDITERRANEAN AGRONOMIC INST. OF CHANIA;Chania;35.5149, 24.01925;;Mapbox
194;Niedersächsische Forstliche Versuchsanstalt;Forstamtstraße 6;51.327455, 9.671778;;Mapbox
197;INST. DE RECERCA I TECNOLOGIA AGROALIMENTARIES;Reus;41.1551, 1.109259;;Mapbox
204;PEPINIERES DU DOMAINE DE LALANNE;Domaine De Lalande;45.11462, -0.74302;;Mapbox
215;Norges Landbrukshogskole NLH;1430;59.66348, 10.792398;;Mapbox
218;UNIV ALGARVE-DEPT AQUATIC RESOURCES;Faro;37.01598, -7.934798;;Mapbox
236;Universite Libre de Bruxelles (ULB);Avenue De Fré 160;50.804291, 4.364482;;Mapbox
245;ECOLE NATIONALE D'INGENIEURS DES TECHNIQUES DES INDUSTRIES AGRICOLES ET ALIMENTAIRES;Rue De La Géraudière;47.263318, -1.565371;;Mapbox
2836;CANARIE Inc;Canarie;45.41117, -75.69812;;OpenAlexNormalized
258;IFREMER - INSTITUT FRANÇAIS DE RECHERCHE POUR L'EXPLOITATION DE LA MER;155 Rue Jean-Jacques Rousseau;48.822598, 2.259735;;Mapbox
280;CENTRO EXPERIMENTAL VILLAJUAN;ES;41.294856, -4.055685;;Mapbox
287;Cooperativa Intervento Settori Pesca e Agricoltura;Complanare Est;41.075218, 16.903365;;Mapbox
295;MACAULAY LAND USE RESEARCH INSTITUTE;Craigiebuckler Drive;57.135886, -2.159764;;Mapbox
303;UNIV. AEGEAN;El Paso;31.759958, -106.485405;;Mapbox
313;Hewlett Packard Ltd;Hewlett-Packard (United States);37.44188, -122.14302;;OpenAlexNormalized
315;UNIVERSITY OF LINKOEPING;Linköping;58.411167, 15.621878;;Mapbox
341;Comité National Interprofessionnel de l'Horticulture;Rue De La Garonne;50.613055, 3.059964;;Mapbox
342;Instituto Nacional de Investigaciones Agrarias;Calle Espaldas Daniel Comboni;39.550995, -0.407606;;Mapbox
345;Agricultural Research Center for Northern Greece;Eleftherios Venizelos Str.;40.636385, 22.941337;;Mapbox
346;Direccao Regional de Agricultura do Algarve;Sit Patacao;37.058289, -7.956952;;Mapbox
347;Centro de Investigacion y Tecnologia Agrarias-Consejeria de Agricultura y Pesca del Gobierno de Canarias;Calle La Laguna 60;42.722827, -0.28534;;Mapbox
348;Consejeria de Agricultura y Pesca;Calle Espaldas Daniel Comboni;39.550995, -0.407606;;Mapbox
356;Joint Research Centre (JRC) Petten;1755 RG;52.76326, 4.656766;;Mapbox
364;FORSCHUNGSZENTRUM JUELICH GMBH;Wilhelm-Johnen-Straße;50.905235, 6.404274;;Mapbox
386;Nuclear Electric plc;GL13;51.6904, -2.4523;;Mapbox
391;Vasari Ltd;2 Kings Road;51.2847, -0.83722;;Mapbox
392;Commissariat à l'Energie Atomique (CEA);Rue Saint-Paul;49.113567, 6.826374;;Mapbox
410;Institute of Arable Crops Research;Long Ashton Road;51.432013, -2.657652;;Mapbox
411;Horticulture Research International;ME19 6BJ;51.287861, 0.438313;;Mapbox
419;The National Dairy Products Research Centre;Moorepark Road;52.162814, -8.26495;;Mapbox
436;Regional Archaeological Service of the Cyclades and of Samos - Ministry of Culture;Elliotsville Road;39.31468, -82.12931;;Mapbox
454;TALOS ENGINEERING sa;106 74;37.9756, 23.740552;;Mapbox
460;Veridatas;Avenue A;48.766093, 2.373196;;Mapbox
480;Sidac SpA;Sidac (Italy);44.22177, 12.04144;;OpenAlexNormalized
531;Micro Software Library EPE;15124 Eldred Avenue;44.979063, -90.180333;;Mapbox
544;PRISMA CENTRE FOR DEVELOPMENT STUDIES;116 35;46.201746, 6.161843;;Mapbox
22478;Taiwan CE Network;Taipei;25.044743, 121.53953;;Mapbox
562;Ayuntamiento de Mataro;Cl Estadi De L';41.536115, 2.425734;;Mapbox
564;Mid Glamorgan County Council;County Hall;50.837434, -0.782688;;Mapbox
568;Athens Technology Centre;15124 Eldred Avenue;44.979063, -90.180333;;Mapbox
592;Linkoepings Universitet;Linköping;58.411167, 15.621878;;Mapbox
597;National Agency Welfare and Health;Siltasaarenkatu 18c;60.180502, 24.94927;;Mapbox
612;SWEF - Swedish Work Environment Fund;Olof Palmes Gata 32;59.334537, 18.054535;;Mapbox
616;Hallinan ja Markkinainnin Laitos;Pl 297;59.843641, 23.236747;;Mapbox
626;IMPERIAL CHEMICAL INDUSTRIES PLC;Imperial Road;51.475164, -0.187052;;Mapbox
644;AEA Technology plc;OX11 0RA;51.579462, -1.308099;;Mapbox
661;FORTH RESEARCH CENTER OF CRETE;1527 Rr 21;43.623556, -80.551657;;Mapbox
668;BYZANTINE MUSEUM OF ATHENS;Elliotsville Road;39.31468, -82.12931;;Mapbox
705;Universidad Autonoma de Barcelona;Carrer De Bellaterra;41.357958, 2.073562;;Mapbox
710;Institut de Recerca y Tecnologia Agroalimentaries (IRTA);Carretera De Cabrils;41.50751, 2.385318;;Mapbox
723;Institute for Atmospheric Physics;Czech Academy of Sciences, Institute of Atmospheric Physics;50.08804, 14.42076;;OpenAlexNormalized
730;EUROPEAN INFORMATION TECHNOLOGY FOR INFORMATION SCIENCE SA;12 Avenue Des Prés;48.775902, 2.015909;;Mapbox
735;MARI Computer Systems Ltd;Old Town Hill;54.222969, -2.923389;;Mapbox
743;ASSOCIATION POUR LE DEVELOPPEMENT DE LA RECHERCHE DANS LES INDUSTRIES AGROALIMENTAIRES ET D'EMBALLAGE CONDITIONNEMENT;Esplanade Roland Garros;49.23803, 4.063582;;Mapbox
744;Pépinières de Rosiers Panos Avramis et Fils;581 00;40.791071, 22.411268;;Mapbox
764;TECNOPOLIS CSATA NOVUS ORTUS SCRL;Strada Comunale Per Casamassima;40.920193, 17.001983;;Mapbox
778;MUNICIPALITY OF DOMMITZSCH;Markt;51.639744, 12.882948;;Mapbox
785;HOTEL DE VILLE CHATEAU DU LOIR;Route De Château Du Loir;47.707985, 0.402089;;Mapbox
793;British Telecom plc (BT);Harvest Crescent;51.298476, -0.826615;;Mapbox
795;TIRAC;College Road;53.849622, -6.754009;;Mapbox
796;GAYDON TEST CENTRE;CV35;52.2113, -1.5776;;Mapbox
804;INSTITUTO SUPERIOR TECNICO;Avenida Rovisco Pais;38.735389, -9.138002;;Mapbox
807;THE PROVOST, FELLOWS AND SCHOLARS OF THE COLLEGE OF THE HOLY AND UNDIVIDED TRINITY OF QUEEN ELIZABETH NEAR DUBLIN HEREINAFTER TRINITY COLLEGE DUBLIN;Trinity College;53.344508, -6.253643;;Mapbox
809;Ovamass Ltd;Fethard;52.466324, -7.694235;;Mapbox
823;RGI Resource Group Integrator Srl;Via Al Molo Vecchio;44.406941, 8.922169;;Mapbox
824;UNIVERSITAET STUTTGART;Allmandring 31;48.742353, 9.096263;;Mapbox
847;Université de Nice;Avenue Valrose;43.715273, 7.265616;;Mapbox
860;THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE;Old School Close;52.278141, 0.330606;;Mapbox
861;University of Keele;ST5 5BG;53.003073, -2.273714;;Mapbox
862;Florilab Srl;Frazione Ripalvella 7;42.847439, 12.313289;;Mapbox
886;UNIVERSITA DEGLI STUDI DI MESSINA;Via Villaggio San Giuseppe 31;37.973404, 14.341665;;Mapbox
896;Storstroem County;Parkvej 37;55.797197, 12.463665;;Mapbox
903;Global Action Plan International;Oud Clingendaal 7a;52.112872, 4.375772;;Mapbox
909;National Technical University of Athens (NTUA);15775 Elk River Mills Road;34.858902, -87.048269;;Mapbox
910;Open Services;3010;50.883784, 4.720035;;Mapbox
949;Dr. GEHRIGT Thomas;Basel;47.555943, 7.588639;;Mapbox
951;Professor NEVEND Damien;Chemin Des Alambics;46.51989, 6.570283;;Mapbox
952;Department of Economics;Mannheim;49.4871, 8.467922;;Mapbox
960;UNIVERSITA' DEGLI STUDI DELL'AQUILA;67100;42.352944, 13.40093;;Mapbox
961;CPL SCIENTIFIC PUBLISHING SERVICES LTD;CPL Scientific Publishing Services (United Kingdom);51.40148, -1.32471;;OpenAlexNormalized
974;Aquaculture Etude et Industrie;Les Frappiers;47.729878, 2.391742;;Mapbox
975;Danube Delta Biosphere Reserve Authority;Strada Babadag 165;45.165185, 28.792996;;Mapbox
976;Fish Culture and Hydrobiology;Vodňany;49.147186, 14.175331;;Mapbox
1009;Southeast Asian Regional Centre for Tropical Biology;Bogor;-6.608808, 106.80683;;Mapbox
1011;Community Medicine Development Foundation;A.H. Lacson Avenue 1000;14.610871, 120.99179;;Mapbox
1012;Aga Kahn Health Services;Gilgit;35.922653, 74.31062;;Mapbox
1034;Instituto de Ecologia A.C.;Carretera Nueva A Coatepec;19.518316, -96.915722;;Mapbox
1035;Institut Français de Recherche Scientifique pour le Développement en Coopération - ORSTOM;Fort-de-France;14.603556, -61.071274;;Mapbox
1039;Centre d'Appui Technique à l'Hévéaculture;Libreville;0.400015, 9.456696;;Mapbox
1040;Indonesian Planter's Association for Research and Development;Palembang;-2.983726, 104.75563;;Mapbox
1041;Institut des Fôrets;Abidjan;5.320357, -4.016107;;Mapbox
1044;National Coconut Development Programme;Dar es Salaam;-6.816084, 39.280358;;Mapbox
1045;Philippine Coconut Authority;Don Mariano Street;14.73448, 121.050432;;Mapbox
1058;Kunming Institute of Botany - Academia Sinica;Kunming;25.03944, 102.708545;;Mapbox
1059;Environment Culture Agriculture Research Development Society in Nepal;Kathmandu;27.714186, 85.31094;;Mapbox
1068;ROSLIN INSTITUTE (EDINBURGH);EH25 9PS;55.862648, -3.153769;;Mapbox
1069;Danish Institute for Fisheries Technology and Aquaculture;9850;57.591238, 9.956223;;Mapbox
1070;Instituto de Investigacion para la Oceanografia Pesca y Alimentacion;D;39.508719, 2.528513;;Mapbox
1076;"Instituto de Ciencias Biomedicas "" Abel Salazar """;Porto;41.14789, -8.611286;;Mapbox
1077;University Pertanian Malaysia;Serdang;2.974268, 101.67795;;Mapbox
1078;South East Asia Ministers of Education Organisation;Jakarta;-6.175394, 106.827183;;Mapbox
1079;Scottish Agricultural College;581 King Street;57.150345, -2.093888;;Mapbox
1087;Centre de Recherche Agronomiques de la Crète et des Iles d'Egée;731 00;35.514899, 24.019251;;Mapbox
1094;Dr. Sardjito's General Hospital;55281;-7.779453, 110.406251;;Mapbox
1099;BBSRC Institute of Grassland and Environmental Research;Centre Lane;52.448606, -2.046812;;Mapbox
1111;Servicio Nacional de Meteorologia e Hidrologia;La Paz;-16.500357, -68.13408;;Mapbox
1112;Direccion Nacional de Aeronautica Civil;Asunción;-25.280046, -57.634381;;Mapbox
1123;Ocean University of Qingdao;266003;36.07122, 120.337775;;Mapbox
1131;Innoprise Corporation SDN BHD;Tawau;4.24626, 117.89054;;Mapbox
1134;Centro de Investigación Científica de Yucatán AC;Mérida;20.968672, -89.62278;;Mapbox
1143;Centro de Investigaciones y de Estudios Avanzados del IPN;Avenida Cañada;19.332924, -99.004414;;Mapbox
1154;WORLD ASSOCIATION OF INDUSTRIAL AND TECHNOLOGICAL RESEARCH ORGANISATIONS;Gregersensvej;55.659026, 12.271576;;Mapbox
1158;Gist - Brocades BV;Wateringseweg 1;52.018799, 4.349862;;Mapbox
1166;Universitaet Wien;1010;48.208217, 16.371907;;Mapbox
1172;INSTITUTO DE BIOLOGIA EXPERIMENTAL E TECNOLOGICA;Avenida Da República;41.487858, -8.340487;;Mapbox
