alpha2,region
AD,Southern Europe
AE,Outside Europe
AF,Outside Europe
AG,Outside Europe
AI,Outside Europe
AL,Southern Europe
AM,Outside Europe
AO,Outside Europe
AQ,Outside Europe
AR,Outside Europe
AS,Outside Europe
AT,Central Europe
AU,Outside Europe
AW,Outside Europe
AX,Northern Europe
AZ,Outside Europe
BA,Southern Europe
BB,Outside Europe
BD,Outside Europe
BE,Western Europe
BF,Outside Europe
BG,Eastern Europe
BH,Outside Europe
BI,Outside Europe
BJ,Outside Europe
BL,Outside Europe
BM,Outside Europe
BN,Outside Europe
BO,Outside Europe
BQ,Outside Europe
BR,Outside Europe
BS,Outside Europe
BT,Outside Europe
BV,Outside Europe
BW,Outside Europe
BY,Eastern Europe
BZ,Outside Europe
CA,Outside Europe
CC,Outside Europe
CD,Outside Europe
CF,Outside Europe
CG,Outside Europe
CH,Central Europe
CI,Outside Europe
CK,Outside Europe
CL,Outside Europe
CM,Outside Europe
CN,Outside Europe
CO,Outside Europe
CR,Outside Europe
CU,Outside Europe
CV,Outside Europe
CW,Outside Europe
CX,Outside Europe
CY,Southern Europe
CZ,Central Europe
DE,Central Europe
DJ,Outside Europe
DK,Northern Europe
DM,Outside Europe
DO,Outside Europe
DZ,Outside Europe
EC,Outside Europe
EE,Northern Europe
EG,Outside Europe
EH,Outside Europe
ER,Outside Europe
ES,Southern Europe
ET,Outside Europe
FI,Northern Europe
FJ,Outside Europe
FK,Outside Europe
FM,Outside Europe
FO,Northern Europe
FR,Western Europe
GA,Outside Europe
GB,Northern Europe
GD,Outside Europe
GE,Outside Europe
GF,Outside Europe
GG,Northern Europe
GH,Outside Europe
GI,Southern Europe
GL,Outside Europe
GM,Outside Europe
GN,Outside Europe
GP,Outside Europe
GQ,Outside Europe
GR,Southern Europe
GS,Outside Europe
GT,Outside Europe
GU,Outside Europe
GW,Outside Europe
GY,Outside Europe
HK,Outside Europe
HM,Outside Europe
HN,Outside Europe
HR,Southern Europe
HT,Outside Europe
HU,Central Europe
ID,Outside Europe
IE,Northern Europe
IL,Outside Europe
IM,Northern Europe
IN,Outside Europe
IO,Outside Europe
IQ,Outside Europe
IR,Outside Europe
IS,Northern Europe
IT,Southern Europe
JE,Northern Europe
JM,Outside Europe
JO,Outside Europe
JP,Outside Europe
KE,Outside Europe
KG,Outside Europe
KH,Outside Europe
KI,Outside Europe
KM,Outside Europe
KN,Outside Europe
KP,Outside Europe
KR,Outside Europe
KW,Outside Europe
KY,Outside Europe
KZ,Outside Europe
LA,Outside Europe
LB,Outside Europe
LC,Outside Europe
LI,Central Europe
LK,Outside Europe
LR,Outside Europe
LS,Outside Europe
LT,Northern Europe
LU,Western Europe
LV,Northern Europe
LY,Outside Europe
MA,Outside Europe
MC,Western Europe
MD,Eastern Europe
ME,Southern Europe
MF,Outside Europe
MG,Outside Europe
MH,Outside Europe
MK,Southern Europe
ML,Outside Europe
MM,Outside Europe
MN,Outside Europe
MO,Outside Europe
MP,Outside Europe
MQ,Outside Europe
MR,Outside Europe
MS,Outside Europe
MT,Southern Europe
MU,Outside Europe
MV,Outside Europe
MW,Outside Europe
MX,Outside Europe
MY,Outside Europe
MZ,Outside Europe
NA,Outside Europe
NC,Outside Europe
NE,Outside Europe
NF,Outside Europe
NG,Outside Europe
NI,Outside Europe
NL,Western Europe
NO,Northern Europe
NP,Outside Europe
NR,Outside Europe
NU,Outside Europe
NZ,Outside Europe
OM,Outside Europe
PA,Outside Europe
PE,Outside Europe
PF,Outside Europe
PG,Outside Europe
PH,Outside Europe
PK,Outside Europe
PL,Central Europe
PM,Outside Europe
PN,Outside Europe
PR,Outside Europe
PS,Outside Europe
PT,Southern Europe
PW,Outside Europe
PY,Outside Europe
QA,Outside Europe
RE,Outside Europe
RO,Eastern Europe
RS,Southern Europe
RU,Eastern Europe
RW,Outside Europe
SA,Outside Europe
SB,Outside Europe
SC,Outside Europe
SD,Outside Europe
SE,Northern Europe
SG,Outside Europe
SH,Outside Europe
SI,Central Europe
SJ,Northern Europe
SK,Central Europe
SL,Outside Europe
SM,Southern Europe
SN,Outside Europe
SO,Outside Europe
SR,Outside Europe
SS,Outside Europe
ST,Outside Europe
SV,Outside Europe
SX,Outside Europe
SY,Outside Europe
SZ,Outside Europe
TC,Outside Europe
TD,Outside Europe
TF,Outside Europe
TG,Outside Europe
TH,Outside Europe
TJ,Outside Europe
TK,Outside Europe
TL,Outside Europe
TM,Outside Europe
TN,Outside Europe
TO,Outside Europe
TR,Outside Europe
TT,Outside Europe
TV,Outside Europe
TW,Outside Europe
TZ,Outside Europe
UA,Eastern Europe
UG,Outside Europe
UM,Outside Europe
US,Outside Europe
UY,Outside Europe
UZ,Outside Europe
VA,Southern Europe
VC,Outside Europe
VE,Outside Europe
VG,Outside Europe
VI,Outside Europe
VN,Outside Europe
VU,Outside Europe
WF,Outside Europe
WS,Outside Europe
XK,Southern Europe
YE,Outside Europe
YT,Outside Europe
ZA,Outside Europe
ZM,Outside Europe
ZW,Outside Europe
