project_id,minority_qid,group_name_en,rule,matched_text,title
7037399854242558,Q125564,Manx people,R1,many people,Vaccine and assay development for Nairoviral Diseases
11170634251156289,Q7325,Jewish people,R1,the news,Shared News Coverage and Momentum Spillover Effect
11347621272031542,Q48199,Sámi people,R2,Same,"Same program, different outcomes: Understanding differential effects of teacher professional develop"
22665446581987367,Q48199,Sámi people,R2,Same,HikeWays: Mountain Trails for School Hiking Trips
31057704369837426,Q7325,Jewish people,R1,the news,Image on the Web: analysis of the image life cycle through the Web 2.0
31312024177498043,Q125564,Manx people,R1,many people,Ketamine augmentation of electroconvulsive therapy to improve outcomes in depression
37142757453124827,Q125564,Manx people,R1,many people,The old and the new Europe - arts and culture as a key to understand social and political transforma
38368862322913315,Q125564,Manx people,R1,many people,Europeans for Fair Trade
43179394606163675,Q48199,Sámi people,R2,Same,eArly warning Platform to Prevent youth from dropping out of schooL Education
43878594638693008,Q2656122,Dom people,R1,do people,GIFT(ED)
52750873555034302,Q48199,Sámi people,R2,Same,Same-Day HIV Testing and Treatment Initiation to Improve Retention in Care
58117067789702501,Q125564,Manx people,R1,many people,HabitWise - Creating Sustainable Everyday Habits
59527932588214305,Q125564,Manx people,R1,many people,The Struggle for Citizenship and Legitimacy: A Case-Study of the Roma in Romania
61251726970979279,Q7325,Jewish people,R1,the news,Windpower in Swedish climate - A complete modelling chain
63307631355973123,Q125564,Manx people,R1,many people,Silencing musculoskeletal pain: can we target spontaneously active neurons?
64563415882050878,Q125564,Manx people,R1,many people,Cultivating difference and not indifference
65511617444125745,Q125564,Manx people,R1,many people,Lifecourse and intergenerational pathways to child and adult cardiometabolic health
66728517461078696,Q125564,Manx people,R1,many people,"Capitalizing knowledge on Common Alerting Protocol, individual Capacities & Capabilities of practiti"
67495681968587771,Q48199,Sámi people,R1,same people,UK-Australia Network Promoting Longitudinal Survey Methods and Analysis
74713120196292054,Q7325,Jewish people,R1,the ews,Development of Trabectedin Analogs that Target the EWS-FLI1 Transcription Factor
75557520393512372,Q125564,Manx people,R1,many people,Investigating the Design and Use of Diagnostic Devices in Global Health
77091984047145390,Q125564,Manx people,R1,many people,A Cultural and Linguistic Journey
80648722007080125,Q125564,Manx people,R1,many people,THINK GREEN
88245840373545405,Q7325,Jewish people,R1,the news,The Role of the News Media in Perpetuating Electoral Fraud Myths in the UK and US
95386080161434809,Q125564,Manx people,R1,many people,European values for new generations - Living democracy in schools
98513620178617717,Q125564,Manx people,R1,many people,TestU Online - free portal of tests for education
101536668167108274,Q125564,Manx people,R1,many people,Time trends in childhood mental health problems: a 40-year cross-cohort comparison
107479576692630351,Q48199,Sámi people,R2,Same,Effect of Halogen Atoms on Reactivity of Other Halogen Atoms in the Same Molecule
115878060921312929,Q125564,Manx people,R1,many people,Mass Spectrometry and Artificial Intelligence-Driven Tools for Enhanced Diagnostics of Hereditary An
116713867128880514,Q125564,Manx people,R1,many people,USING TECHNOLOGY TO IMPLEMENT A HEALTHY LIFE
133169852640377476,Q7325,Jewish people,R1,the jets,Precision QCD @ LHC using Energy Correlators
134811441008570042,Q7325,Jewish people,R1,the news,"Comix &amp; Digital: New paths, new comic book forms"
136569987387359144,Q125564,Manx people,R1,many people,A randomised controlled trial of internet-based therapy for panic disorder.
156621068575662375,Q125564,Manx people,R1,many people,Food lab: translate recipes into Chemistry language
160254505380516181,Q208551,Laz people,R1,lay people,Sharing knowledge and management approaches in coastal zones. The case of the Wadden Sea
164985156863205267,Q7325,Jewish people,R1,the news,Dickens and the Heritage Sector: Dickensland
172063996958456163,Q125564,Manx people,R1,many people,The Economics and Politics of Alternative Realities
173632442779722876,Q125564,Manx people,R1,many people,Fat forward in the fight against heart disease: novel omega-3 lipid metabolites to lower triglycerid
192985700792624696,Q2656122,Dom people,R1,do people,"How Do Citizens Think About the Future? The Nature, Origins and Role of Expectations in Political Li"
194910803635131303,Q7325,Jewish people,R1,the news,"Pedagogical approaches for upskilling of teachers, mediators and experts working with Romani childre"
198036860205160381,Q48199,Sámi people,R2,Same,How Spouses Influence Each Other's Health in Same- and Different-Sex Marriages: A Dyadic and Longitu
204298458363571903,Q125564,Manx people,R1,many people,IMPROVING CREATIVE PROBLEM SOLVINGSKILLS IN MATH WITH THE HELP OF GAMES
205308069329125666,Q125564,Manx people,R1,many people,A case control study investigating factors contributing to the risk of bleeding in patients receivin
210905695210437601,Q125564,Manx people,R1,many people,End-User Programming of Visualizations
217014409669003535,Q125564,Manx people,R1,many people,Transforming hearing aids through large-scale electrophysiology and deep learning
219736542263775448,Q7325,Jewish people,R1,the news,Association of VTEC O157 and O26 strains with the bovine intestinal mucosa ex vivo
226822421053800081,Q48199,Sámi people,R2,Same,How Spouses Influence Each Other's Health in Same- and Different-Sex Marriages: A Dyadic and Longitu
232047942663475952,Q125564,Manx people,R1,many people,Performance and Ethnicity in Contemporary Spain: Agency and Resistance (1990 to the present day).
234524858779125423,Q125564,Manx people,R1,many people,Determining the role of Wnt signalling &amp; IGFBP6 in enhanced atherosclerosis risk in periodontal 
236968172397113582,Q125564,Manx people,R1,many people,Good Practices for Teaching Astronomy at Educational level - Teaching ASTronomy at Educational level
248971574153920100,Q125564,Manx people,R1,many people,COgnitive REal time SENsing SystEm for autonomous vehicles- Cognitive real time sensing system for a
253610897549156662,Q846578,Svan people,R1,san people,From the Mind to the Wall: Tracing Sign Language in Palæolithic Hand Stencils
254733512397620973,Q2656122,Dom people,R1,do people,"Resistance, Protest and Austerity: How do Working Class People 'Fight Back', and Against What?"
270614870873784128,Q125564,Manx people,R1,many people,Recycling our world - Creating awareness for a sustainable Lifestyle in young Europeans
275835876157508599,Q125564,Manx people,R1,many people,Molecular pharmacology of beta adrenoreceptors in multiple disease states
289511601231142967,Q48199,Sámi people,R2,Same,The All-or-Nothing Marriage? Marital Functioning and Health Among Individuals in Same and Different-
295443320872327019,Q125564,Manx people,R1,many people,Peace is not free
325303217510485689,Q125564,Manx people,R1,many people,Ecological consequences of hydrodynamic disturbances
327688321256488444,Q125564,Manx people,R1,many people,Be aware of and Protect Nature
330485560468865317,Q125564,Manx people,R1,many people,Under The Same Sky
330485560468865317,Q48199,Sámi people,R2,Same,Under The Same Sky
339061352455966134,Q125564,Manx people,R1,many people,The future begins now.
342734870926693677,Q125564,Manx people,R1,many people,Flu watch:Community study of behavioral &amp; biological determinants of transmission to inform seas
377320961740738027,Q125564,Manx people,R1,many people,"""""""All the world's a stage ..."""" - but what kind of World?"""
385114984588776484,Q125564,Manx people,R1,many people,Amateur Dramatics: Crafting Communities in Time and Space
385371002439037385,Q2656122,Dom people,R1,do people,Predictive Geodemographics
404942591398170105,Q125564,Manx people,R1,many people,Melatonin as a novel neuroprotectant in preterm infants
414013729643166595,Q7325,Jewish people,R1,the news,AI in the service of truth - fact checking the news in Sweden
417030858570227037,Q125564,Manx people,R1,many people,The public health importance of vitamin D: determining causal effects of intrauterine and lifetime e
422154193090709173,Q48199,Sámi people,R2,Same,We Are The Same Despite of Our Differences
428412900555883661,Q125564,Manx people,R1,many people,Engineering solutions to back pain: an interdisciplinary approach
440065906847626093,Q125564,Manx people,R1,many people,Understanding Disability through interactive technology
446439047610507936,Q48199,Sámi people,R2,Same,"Same, same, or different? Mechanisms of Parental Care Between Sexes"
459591606910425535,Q48199,Sámi people,R2,Same,A Longitudinal Assessment of the Dual Impact of Political Campaigns and Democratic Outcomes on Indiv
461216817387444823,Q125564,Manx people,R1,many people,"The Consortium on Risk in the Environment: Diagnostics, Integration, Benchmarking, Learning and Elic"
465134448548692734,Q7325,Jewish people,R1,the news,From REcovery to DIScovery-opening the debate on alternatives to financialisation
469158756454554814,Q125564,Manx people,R1,many people,"Improving health and increasing wellbeing: reducing food insecurity and waste, with dignity, through"
471333895007412229,Q48199,Sámi people,R2,Same,Same-Day HIV Testing and Treatment Initiation to Improve Retention in Care
471750983271172467,Q125564,Manx people,R1,many people,Modulators of the Hypoxia-inducible Factor (HIF) pathway and their impact on the pulmonary vasculatu
473202382075287986,Q48199,Sámi people,R2,Same,Proximal Effects of Alcohol on Same-Sex Intimate Partner Violence
474977398847656041,Q125564,Manx people,R1,many people,Cortical excitation in migraine: using vision to understand and track brain excitability
485589629810834425,Q125564,Manx people,R1,many people,Circus of Emotions: Empowering students - Building integration
494347020520015847,Q125564,Manx people,R1,many people,How automated insulin delivery therapy regulate blood glucose during different exercise modalities i
498383049164582800,Q7325,Jewish people,R1,the news,COVID-19 Voices in Finnish News Media in the Global Context: A Comparative Study of News Media’s Rol
502469064449915608,Q125564,Manx people,R1,many people,Tissue Engineering for Human Healing
502602278603461680,Q125564,Manx people,R1,many people,Stars in Europe
505656423034469095,Q7325,Jewish people,R1,the news,The New News Consumer: User-Based Innovation to Meet Paradigmatic Change in News Use and Media Habit
512349189828450773,Q125564,Manx people,R1,many people,Neubit: Transforming Mental Health Care with ANS Therapy
519560752055548092,Q125564,Manx people,R1,many people,CLASS INVARIANTS FOR ABELIAN VARIETIES OF HIGHER DIMENSION
520595639279815870,Q125564,Manx people,R1,many people,"DEMENTIA, ARTS &amp; WELLBEING NETWORK (DAWN)"
520595639279815870,Q2656122,Dom people,R1,do people,"DEMENTIA, ARTS &amp; WELLBEING NETWORK (DAWN)"
521373403249627104,Q208551,Laz people,R1,lay people,"Franciscan Writings in French (1217-1517). Literary Communication and the ""invention"" of Modernity"
523758884899648182,Q125564,Manx people,R1,many people,Using genetic variability in whole transcriptome expression in cells and tissues to understand the p
525828055873508480,Q125564,Manx people,R1,many people,Body Shining
528375536583545496,Q2656122,Dom people,R1,do people,"Lifestyles, Status, and Inequality"
533155176927972266,Q7325,Jewish people,R1,the news,Beyond Clicks and Metrics. Understanding the News Audience in the Digital Era
537294770704154497,Q125564,Manx people,R1,many people,Cooperation in the framework of the Partnership for the Professional Development of Estate Appraiser
553231602269425673,Q125564,Manx people,R1,many people,Boosting adult career management and key competences for inclusion and employability through social 
553425113378728044,Q125564,Manx people,R1,many people,Reducing stroke risk for patients with heart failure and atrial fibrillation in primary care
556039689475112339,Q125564,Manx people,R1,many people,A new coupling protocol for the synthesis of carbon-rich compounds.
561797447857422498,Q125564,Manx people,R1,many people,Design online Educative Products and ART
574964685721906640,Q125564,Manx people,R1,many people,Sensory innervation of the anal region in normal and diabetic guinea pigs
578847519971761596,Q125564,Manx people,R1,many people,Living with the past at home: domestic pre-habitation and inheritance
579223253474612889,Q125564,Manx people,R1,many people,Happy Habits
585134183985378024,Q125564,Manx people,R1,many people,Vulnerable citizens in the city: our common concern!
587916135691590780,Q125564,Manx people,R1,many people,Death and Grief in COVID-19. Grief and Mental Health of relatives in a restrictive situation of supp
591542523968172776,Q125564,Manx people,R1,many people,Stone Technology in Late Pleistocene India: A new perspective on the dispersal of Homo sapiens out o
598392775139732920,Q125564,Manx people,R1,many people,Sandtable Simulation Services Prototype
603518736178508770,Q125564,Manx people,R1,many people,Strategically integrated renewable energy and environment systems (SIRE)
609065629753020629,Q125564,Manx people,R1,many people,Urban avian ecology and ecosystem services: The challenges and possibilities of urbanization for bir
609684920005442526,Q48199,Sámi people,R2,Same,Proximal Effects of Alcohol on Same-Sex Intimate Partner Violence
610322907274323423,Q125564,Manx people,R1,many people,Temporary Pacing Safety Monitor - Caseworks and User Interface
620840526847549537,Q125564,Manx people,R1,many people,Creating Smart Hybrid Solutions for Destinations: Lessons from COVID-19
628157742891372338,Q7325,Jewish people,R1,the news,uPaint - intro to the visual world
630734754644094486,Q125564,Manx people,R1,many people,Men Who Care: Migrant-led responses to displacement in Greece
631922666029099644,Q2656122,Dom people,R1,do people,Evidence-informed decision aids for clinical trial participation: a methodological investigation of 
633430383731951960,Q125564,Manx people,R1,many people,Memory Reshaping for Depression: A Remote Digital Randomised Controlled Feasibility Trial
636779307014405904,Q125564,Manx people,R1,many people,Bioelectronics for bioelectricity: developing a platform to interrogate the role of bioelectricity i
638468505168474845,Q125564,Manx people,R1,many people,Quadruple UltrA-low-dose tReamenT for hypErTension - QUARTET
643899709923795064,Q7325,Jewish people,R1,the news,News Angler: Discovering unexpected connections in the news
648327287106499023,Q2656122,Dom people,R1,do people,From recession to success - the effects of the ´new industrialization´ in a small local community in
653793856675874630,Q125564,Manx people,R1,many people,Redefining Approaches to Mitigate Global Snakebite Burden in a Changing World: A Zoonotic Perspectiv
666477708664519791,Q125564,Manx people,R1,many people,Characterizing the effects of hearing loss and hearing aids on the neural code for music
667493882361900366,Q125564,Manx people,R1,many people,Discovery of novel neurodegeneration genes via next-generation sequencing technologies and high-thro
669660119965379318,Q48199,Sámi people,R2,Same,Possible Influence of Relationship Hierarchy on The Level of Homogamy in Same-Sex Relationships and 
674264055877040256,Q125564,Manx people,R1,many people,12 Years
677326403749106041,Q48199,Sámi people,R2,Same,STOPping pathogens in their tracks
687012668470788378,Q125564,Manx people,R1,many people,Specialized insulins from marine predators as new drug leads for diabetes
691085607462947739,Q125564,Manx people,R1,many people,A non-inferiority trial to assess the safety and immunogenicity of yellow fever vaccine dose sparing
700576872631764596,Q125564,Manx people,R1,many people,Up &amp; Go - A training program development for organisations who would like to provide better incl
706429395737015721,Q48199,Sámi people,R2,Same,"Estimating the Impact of a Multilevel, Multicomponent Intervention to Increase Uptake of HIV Testing"
710315336447752327,Q7325,Jewish people,R1,the news,Dickens and the Heritage sector
712314144533021190,Q125564,Manx people,R1,many people,Temporary Pacing Safety Monitor - Digital Platform
714623863727200827,Q125564,Manx people,R1,many people,Thriving at Home
715793190859274495,Q125564,Manx people,R1,many people,"Pictures of ageing in Uganda; A partnership to explore demographics, phenotype and self perception i"
715793190859274495,Q48199,Sámi people,R1,same people,"Pictures of ageing in Uganda; A partnership to explore demographics, phenotype and self perception i"
722812210482356701,Q125564,Manx people,R1,many people,Fair Food for a Smart Life
723371829676317071,Q2656122,Dom people,R1,do people,QESC
723833632078569978,Q125564,Manx people,R1,many people,Monitoring Local Climate Pollution
727065903175928567,Q208551,Laz people,R1,lay people,"The Public History of Science, Technology, Engineering and Medicine: Prospects and Issues"
754921049491634114,Q125564,Manx people,R1,many people,Remote working solutions to support the retention of older workers who are vulnerable to Covid-19
761575797775149729,Q125564,Manx people,R1,many people,Skills Training for Effective Practice
770001817995063718,Q125564,Manx people,R1,many people,The stress research podcast - a cultural podcast about stress and health
787812086415550335,Q125564,Manx people,R1,many people,Ventilation as a strategy to reduce indoor transmission of airborne diseases: development of new str
788041230821206505,Q125564,Manx people,R1,many people,Investigation of the role of clonal haematopoiesis as a susceptibility factor in COVID-19 infection
792490836509253652,Q125564,Manx people,R1,many people,Good intentions gone bad: bridging the gap between intentions and healthy behavior
792998032685364666,Q2656122,Dom people,R1,do people,What Do People Want to Feel? Strategic Emotion Regulation in Negotiations
793200024524867664,Q125564,Manx people,R1,many people,SpeechWave
794216476332868991,Q125564,Manx people,R1,many people,Time to Help!
801329263417284874,Q125564,Manx people,R1,many people,MICA:Development of new paradigm in differentiated care for HIV patients; Community pharmacy drug re
828368499431672533,Q125564,Manx people,R1,many people,Cessation of Volunteering in Later Life: Managing long-term impacts for volunteers and volunteer man
829168961668829681,Q7325,Jewish people,R1,the news,Critical of alternative facts
838734632846805236,Q125564,Manx people,R1,many people,HoptoStop: Development and feasibility of a novel intervention to promote active ageing and smoking 
849297500769589835,Q125564,Manx people,R1,many people,Rural European Association Development Innovation Team. READ IT - Active citizens in rural areas
855338106074202289,Q7325,Jewish people,R1,the news,Equalisters Media Project
858922377136444159,Q125564,Manx people,R1,many people,Assessment of remote ischemic conditioning on post-cardiac arrest myocardial dysfunction by magnetic
878442839900559092,Q125564,Manx people,R1,many people,Frontal cortical interactions during decision-making and social valuation
884684664484588249,Q125564,Manx people,R1,many people,Understanding the factors that led to the Brexit vote
887022355514279493,Q7325,Jewish people,R1,the jets,Exploring with particle-in-cell (PIC) simulations the limits of plasma-based charged particle accele
905879320337824328,Q125564,Manx people,R1,many people,WALKING THE LINE
918084907985849201,Q125564,Manx people,R1,many people,The potential impact of aging stereotypes in the assessment of memory deficits and screening for pro
919675372846970616,Q125564,Manx people,R1,many people,Be Supportive Mindful Active Responsible Tolerant
922647601438560112,Q7325,Jewish people,R1,the jaws,"Nature of the beast? Resolving drivers of prey choice, competition and resilience in wolves"
933764951943892267,Q2656122,Dom people,R1,do people,The “Beliefs Lab”: Understanding the Evolution and Impact of Beliefs on the Economy
935507040381984144,Q125564,Manx people,R1,many people,GCRF South Asian Nitrogen Hub
938848147781408095,Q125564,Manx people,R1,many people,Explaining the Chemistry/Biology Interface (ECBI): Networking &amp; Evaluation Phase
943381474178436122,Q48199,Sámi people,R2,Same,Understanding the mechanisms that regulate cytoplasmic capping and defining itscontributions to post
953861139952221964,Q125564,Manx people,R1,many people,Adult and Work: an Aid to Reduce the Distance
956869154715904139,Q125564,Manx people,R1,many people,Non-invasive transcutaneous vaccination by means of coated microneedles and microjets
961380214219350203,Q7325,Jewish people,R1,the jets,Unraveling the magnetic field structure and emission mechanisms in relativistic jets across all scal
974092471598073191,Q125564,Manx people,R1,many people,Sustainable initiatives for the Alps
979495081790000640,Q7325,Jewish people,R1,the news,Youth engagement with Sustainable Development Goals: the choice of moral arguments in the news for u
983360308593117356,Q7325,Jewish people,R1,the news,Violence and Warfare in the Nordic Corded Ware Complex: an Interdisciplinary Approach
983655308765777494,Q7325,Jewish people,R1,the news,The BBC Monitoring Service collection at IWM Duxford: investigating and evaluating its heritage and 
988722800004452250,Q125564,Manx people,R1,many people,Trial of vitamin D supplementation to prevent acquisition of latent tuberculosis infection in school
989793433112133270,Q125564,Manx people,R1,many people,"Practical climate change and environmental solutions with communities around schools, through the to"
990448576557501253,Q125564,Manx people,R1,many people,"Delivering the digital ambition: Exploring how we can design, implement and evaluate digital technol"
995936385425934503,Q7325,Jewish people,R1,the news,Understanding Household Responses to Inflation: Insights from Randomized Controlled Trials after Hig
996480249258483320,Q7325,Jewish people,R1,the news,ARC Future Fellowships - Grant ID: FT230100537
1000866122747485904,Q2656122,Dom people,R1,do people,How do people respond to abrupt ecosystem Changes? Using behavioral lab and field experiments to exp
1001829617485265922,Q125564,Manx people,R1,many people,"Intercultural research of the phenomenon of the globalisation, realised by Upplands Bro Gymnasium, S"
1011245040201023525,Q2656122,Dom people,R1,do people,To give or not to give? An explorative study in the practice of tipping.
1011702328086860346,Q125564,Manx people,R1,many people,"All different, all the same"
1025500274759288255,Q208551,Laz people,R1,lay people,WaArusha Agro-Pastoralist Experiences with Risk of Febrile Illness: An Ethnographic Study of Social 
1027799145499121628,Q2656122,Dom people,R1,do people,Why do people develop chronic low back pain? An investigation of brain function as a predictor of ch
1034077916015093942,Q7325,Jewish people,R1,the jets,Optimal use of jets at LHC and future colliders
1047488305241441229,Q125564,Manx people,R1,many people,Learn Medical Art Online Course
1048553187209677612,Q125564,Manx people,R1,many people,European Researchers' Night Cymru - Making a Difference in Wales
1050430254268375080,Q48199,Sámi people,R2,Same,Same-Different and Matching-to-Sample Concept Learning
1056387937327749504,Q48199,Sámi people,R1,same people,A cognitive vaccine for depression: assessment using neurobiological outcomes in experimental medici
1063500230421522056,Q125564,Manx people,R1,many people,Quadruple UltrA-low-dose tReamenT for hypErTension - QUARTET
1065248600082284298,Q7325,Jewish people,R1,the news,"If accessible, I am safe"
1065730345746717466,Q125564,Manx people,R1,many people,Deep Learning Ultra Low-Frequency Heart Rate Variability from raw ECG
1066978293760664869,Q125564,Manx people,R1,many people,Achieving silence: Neurofeedback augmentation of Mental Silence Meditation training using functional
1073513494063314620,Q125564,Manx people,R1,many people,An ADRC-NI project linking Social Security Benefits and Census data to understand the health and soc
1073968348991425480,Q48199,Sámi people,R2,Same,Comparison of Mortality and Therapy Costs Related to Patients with Acute Upper GIT Bleeding in Two H
1074719816594648474,Q7325,Jewish people,R1,the jets,3D magnetosheath jet properties finally resolved - High resolution simulations and observations
1074822483433813174,Q48199,Sámi people,R1,same people,Empowering Digital Teachers in a changing world
1075648861155184687,Q125564,Manx people,R1,many people,Clowning Entrepreneurs are Smarter
1084395903857500688,Q125564,Manx people,R1,many people,Low-dose low-cost 3D X-ray imaging for reduction of CT referrals
1087454724039904301,Q48199,Sámi people,R2,Same,The Ball Rolls in the Same Way for All in Higher Education
1113420138182466612,Q2656122,Dom people,R1,do people,Understanding Social Media Monitoring
1120608087933460603,Q125564,Manx people,R1,many people,Corporate financial decisions: A psychological approach
1136545586962319070,Q48199,Sámi people,R2,Same,Entropy and Same-Different Conceptualization
1157105907333491080,Q125564,Manx people,R1,many people,Managing Ideas in Creative Work
1157293819070737466,Q2656122,Dom people,R1,do people,A sense of justice? Attitudes to punishment in Sweden
1157500910567050556,Q125564,Manx people,R1,many people,Development and Evaluation of a Training Package to support the Remote Assessment and Management of 
1158432634876885083,Q125564,Manx people,R1,many people,The Academy of Arts
1161800648323687042,Q125564,Manx people,R1,many people,Development of a training program for improving QoL of seniors living in loneliness through educatio
1163950716507209694,Q125564,Manx people,R1,many people,Energy Divides in Europe: Closing Gaps in Understanding for Transformative Alleviation of Energy Pov
1168306216372971128,Q125564,Manx people,R1,many people,Link between Metabolic Stress and Fatigue in Rheumatoid Arthritis. Role of Janus Kinase (JAK) Inhibi
1170674835480775732,Q7325,Jewish people,R1,the news,Network Europe Workgroup on Social Ethics and Corporate Digital Responsibility
1183104435699338506,Q125564,Manx people,R1,many people,What happens when you cross LEGO and a Star Trek Replicator?
1186826613110070428,Q7325,Jewish people,R1,the news,Source Credibility - Key to the News Gate? An Examination of Factors influencing U.S. and Foreign Wa
1190398863302208389,Q48199,Sámi people,R2,Same,Under The Same Sky
1191571890739110434,Q7325,Jewish people,R1,the jets,Layering in geophysical fluid dynamics systems
1194240782054169319,Q7325,Jewish people,R1,the news,Tunisian EURAXESS Network
1200998156827974537,Q125564,Manx people,R1,many people,Training for volunteers in cultural and religious guidance of migrants and refugees
1230730890750674783,Q125564,Manx people,R1,many people,Governing elites since the dawn of modern democracy
1234352687225014913,Q125564,Manx people,R1,many people,Iron Biogeochemistry in the High Latitude North Atlantic
1235229230166335014,Q125564,Manx people,R1,many people,Trainstation - scaling the concept of a youth center for digital learning enhancing creativity
1246550582049932715,Q125564,Manx people,R1,many people,Our Shared History - Prehistoric Europe
1247057923670834924,Q125564,Manx people,R1,many people,Improving Practice in Ugandan drug shops: a holistic approach to regulation
