qid,group_name_en,term
Q7325,Jewish people,jewish
Q7325,Jewish people,jew
Q7325,Jewish people,jews
Q7325,Jewish people,judaism
Q7325,Jewish people,hebrew
Q7325,Jewish people,yiddish
Q1799968,Ladins,ladin
Q1799968,Ladins,ladino
Q1799968,Ladins,gardenese
Q1799968,Ladins,badiese
Q1799968,Ladins,fascian
Q1799968,Ladins,marebbano
Q1799968,Ladins,ampezzan
Q48199,Sámi people,sami
Q48199,Sámi people,sámi
Q48199,Sámi people,saami
Q48199,Sámi people,sapmi
Q48199,Sámi people,same
Q48199,Sámi people,joik
Q48199,Sámi people,yoik
